game_id,time_control,num_plies,white_s_att,black_s_att,white_lgbm_a0g,black_lgbm_a0g,white_detector_a3g_seed0,black_detector_a3g_seed0,white_cnn_bilstm_a4,black_cnn_bilstm_a4
2019-02_game_0022235,bullet,93,84.0493,87.8256,0.754696,0.3606,0.657543,0.289595,0.889574,0.730374
2019-05_game_0018823,bullet,61,138.9415,131.4287,0.47206,0.62317,0.422779,0.295392,0.579439,0.275523
2019-01_game_0028991,bullet,27,220.0144,176.9123,0.500941,0.505584,0.633865,0.083693,0.730885,0.320833
2019-05_game_0017386,bullet,87,120.7939,120.5856,0.68913,0.469841,0.383545,0.520437,0.605919,0.55068
2019-02_game_0026622,bullet,51,276.2336,280.7639,0.846591,0.442492,0.427034,0.188988,0.729998,0.30892
2019-02_game_0014541,bullet,70,736.9802,680.7978,0.41931,0.440473,0.292689,0.291737,0.343564,0.315577
2019-04_game_0015516,bullet,65,100.2106,87.8233,0.600082,0.397278,0.30724,0.414935,0.508078,0.396574
2019-02_game_0015129,bullet,35,213.669,112.7728,0.483586,0.48788,0.703916,0.155363,0.545934,0.211143
2019-03_game_0008606,bullet,79,331.42,293.9495,0.563492,0.432304,0.907968,0.324075,0.699318,0.534438
2019-02_game_0019628,bullet,80,861.1163,843.9191,0.377662,0.641473,0.304586,0.767908,0.464707,0.706684
2019-01_game_0008603,bullet,88,86.4132,89.8864,0.393366,0.814586,0.261844,0.96869,0.624952,0.66217
2019-05_game_0009639,bullet,46,234.3119,254.7126,0.451282,0.466095,0.177492,0.673379,0.117041,0.653433
2019-02_game_0016533,bullet,100,259.3377,340.9949,0.441008,0.595491,0.372487,0.640184,0.552965,0.605835
2023-05_game_0026670,bullet,39,246.2763,280.0145,0.44602,0.467295,0.187492,0.153397,0.535926,0.215884
2019-06_game_0019905,bullet,49,283.912,308.4166,0.52504,0.503487,0.56133,0.164402,0.685471,0.259472
2019-02_game_0023440,bullet,65,121.6923,128.1575,0.654178,0.374519,0.317646,0.351178,0.703916,0.357691
2019-02_game_0020455,bullet,71,229.0869,275.9851,0.470105,0.418826,0.548732,0.247634,0.518692,0.57058
2023-05_game_0019362,bullet,59,176.8272,157.6398,0.772988,0.3732,0.903026,0.180095,0.633877,0.339713
2023-05_game_0026076,bullet,81,197.4846,198.524,0.773191,0.355519,0.55819,0.286432,0.647509,0.517519
2023-05_game_0023075,bullet,100,128.2428,102.684,0.613666,0.476819,0.537886,0.34638,0.504959,0.45393
2023-05_game_0027159,bullet,43,301.0262,282.7371,0.330274,0.822028,0.275087,0.221805,0.587068,0.210268
2023-05_game_0012788,bullet,42,182.7907,254.7084,0.389323,0.498805,0.198636,0.135192,0.239535,0.248087
2019-04_game_0023757,bullet,100,145.6195,158.9729,0.603216,0.427807,0.409929,0.440825,0.655587,0.771521
2019-05_game_0026556,bullet,30,182.9902,151.284,0.412736,0.33026,0.209914,0.407247,0.107462,0.591348
2019-02_game_0029257,bullet,99,126.604,224.5232,0.42726,0.575786,0.494228,0.492836,0.482848,0.494229
2019-01_game_0029505,bullet,47,393.6729,702.1415,0.681081,0.400564,0.845708,0.19018,0.709836,0.300012
2019-02_game_0029292,bullet,48,432.9367,401.7422,0.220245,0.249681,0.303566,0.251362,0.300969,0.654263
2019-04_game_0015897,bullet,91,183.59,515.8503,0.416371,0.561454,0.362069,0.412496,0.494721,0.469794
2023-05_game_0024464,bullet,39,105.9881,139.1686,0.451678,0.518206,0.238417,0.201616,0.648954,0.243709
2019-03_game_0023090,bullet,72,129.2515,195.2666,0.334171,0.700427,0.268235,0.875376,0.335841,0.338797
2019-02_game_0006791,bullet,52,290.8846,240.2,0.428222,0.610235,0.250832,0.730357,0.221324,0.577571
2019-05_game_0028827,bullet,100,350.5943,276.4895,0.474848,0.44894,0.5703,0.504994,0.478916,0.472385
2019-03_game_0007898,bullet,61,116.0502,122.2584,0.315824,0.769186,0.426243,0.238624,0.574488,0.273428
2019-01_game_0007802,bullet,100,386.311,372.7411,0.541087,0.525865,0.324298,0.532109,0.281381,0.451412
2019-05_game_0016503,bullet,95,153.8416,47.6995,0.682014,0.412936,0.518259,0.446795,0.76432,0.52153
2019-04_game_0005353,bullet,90,285.1247,259.8857,0.628379,0.751667,0.331432,0.61542,0.81181,0.886557
2019-05_game_0023219,bullet,98,54.5218,61.9753,0.67722,0.450734,0.402767,0.361385,0.527656,0.558292
2019-06_game_0018215,bullet,61,91.7621,105.0417,0.389492,0.475969,0.244991,0.268819,0.5544,0.247764
2019-01_game_0027507,bullet,58,348.3603,298.2775,0.537248,0.397966,0.531264,0.311297,0.248655,0.454776
2019-04_game_0007116,bullet,42,217.7194,213.5045,0.533241,0.561637,0.17321,0.53295,0.272542,0.720238
2019-02_game_0005367,bullet,82,142.9675,190.7479,0.396825,0.518728,0.328033,0.554225,0.353618,0.771998
2019-05_game_0010220,bullet,38,288.3716,234.3476,0.583835,0.689836,0.173926,0.320518,0.151159,0.448973
2019-01_game_0023057,bullet,86,95.1186,90.4661,0.763408,0.409648,0.460555,0.337575,0.611143,0.501825
2019-02_game_0024861,bullet,72,410.0984,437.7437,0.406678,0.585832,0.592594,0.303073,0.2243,0.566901
2019-05_game_0016940,bullet,59,118.7453,117.4108,0.831813,0.315402,0.853809,0.188895,0.559072,0.281635
2019-06_game_0019547,bullet,66,330.7409,332.0593,0.35018,0.633171,0.338901,0.487716,0.417732,0.754317
2019-06_game_0011726,bullet,65,251.5069,289.8518,0.64578,0.36958,0.732489,0.217047,0.485748,0.157587
2019-03_game_0011475,bullet,58,127.1925,128.9335,0.436733,0.61541,0.276767,0.346749,0.236631,0.494264
2019-05_game_0027680,bullet,81,129.6692,127.937,0.365109,0.740408,0.389275,0.398136,0.640582,0.334042
